[2026-04-25 23:10:35.649] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":49}
[2026-04-25 23:10:35.655] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":50}
[2026-04-25 23:10:35.659] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":51}
[2026-04-25 23:10:35.663] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":52}
[2026-04-25 23:10:35.666] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":53}
[2026-04-25 23:10:35.670] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":54}
[2026-04-25 23:10:35.674] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2026-04-25 23:10:35.678] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":56}
[2026-04-25 23:10:35.683] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":57}
[2026-04-25 23:10:35.685] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
[2026-04-25 23:10:35.692] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":59}
[2026-04-25 23:10:35.694] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":60}
[2026-04-25 23:10:35.698] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":61}
[2026-04-25 23:10:35.702] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":62}
[2026-04-25 23:10:35.707] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":63}
[2026-04-25 23:10:35.708] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":64}
[2026-04-25 23:10:35.710] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":65}
[2026-04-25 23:10:35.715] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":66}
[2026-04-25 23:10:35.717] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":67}
[2026-04-25 23:10:35.724] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":68}
[2026-04-25 23:10:35.726] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":69}
[2026-04-25 23:10:35.731] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":70}
[2026-04-25 23:10:35.733] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":71}
[2026-04-25 23:10:35.740] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":72}
[2026-04-25 23:10:35.741] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":73}
[2026-04-25 23:10:35.744] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":74}
[2026-04-25 23:10:35.751] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":75}
[2026-04-25 23:10:35.753] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":76}
[2026-04-25 23:10:35.758] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":77}
[2026-04-25 23:10:35.761] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":78}
[2026-04-25 23:10:35.767] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":79}
[2026-04-25 23:10:35.769] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":80}
[2026-04-25 23:10:35.774] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":81}
[2026-04-25 23:10:35.779] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":82}
[2026-04-25 23:10:35.781] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":83}
[2026-04-25 23:10:35.785] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":84}
[2026-04-25 23:10:35.790] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":85}
[2026-04-25 23:10:35.796] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":86}
[2026-04-25 23:10:35.798] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":87}
[2026-04-25 23:10:35.803] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":88}
[2026-04-25 23:10:35.804] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":89}
[2026-04-25 23:10:35.821] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":90}
[2026-04-25 23:10:35.821] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":91}
